"time,FuelCons"
"26.58375,12128"
"26.60375,12146"
"26.62375,12164"
"26.64375,12181"
"26.66375,12200"
"26.68375,12218"
"26.70375,12236"
"26.72375,12254"
"26.74375,12272"
"26.76375,12289"
"26.78375,12307"
"26.80375,12326"
"26.82275,12344"
"26.84275,12361"
"26.86275,12379"
"26.88275,12397"
"26.90275,12415"
"26.92275,12433"
"26.94275,12451"
"26.96275,12469"
"26.98275,12487"
"27.00275,12506"
"27.02275,12524"
"27.04275,12543"
"27.06275,12561"
"27.08275,12580"
"27.10275,12599"
"27.12275,12618"
"27.14275,12638"
"27.16275,12657"
"27.18275,12677"
"27.20275,12697"
"27.22275,12717"
"27.24275,12738"
"27.26275,12759"
"27.28275,12780"
"27.30275,12801"
"27.32275,12823"
"27.34275,12845"
"27.36275,12867"
"27.38275,12890"
"27.40275,12913"
"27.42275,12936"
"27.44275,12960"
"27.46275,12983"
"27.48275,13007"
"27.50275,13031"
"27.52275,13054"
"27.54275,13078"
"27.56275,13102"
"27.58275,13127"
"27.60275,13151"
"27.62275,13175"
"27.64275,13199"
"27.66275,13224"
"27.68275,13248"
"27.70275,13273"
"27.72275,13298"
"27.74275,13324"
"27.76275,13351"
"27.78275,13378"
"27.80275,13405"
"27.82275,13432"
"27.84275,13460"
"27.86275,13488"
"27.88275,13517"
"27.90275,13545"
