"time,AccPedal"
"18.06866,49.2"
"18.08866,48.8"
"18.10866,48.4"
"18.12866,48"
"18.14866,48"
"18.16866,47.6"
"18.18866,47.2"
"18.20866,47.2"
"18.22866,47.2"
"18.24866,46.8"
"18.26866,46.8"
"18.28866,46.8"
"18.30866,46.8"
"18.32866,46.8"
"18.34866,46.8"
"18.36866,46.8"
"18.38866,46.8"
"18.40866,46.4"
"18.42866,46.4"
"18.44866,46.4"
"18.46866,46.4"
"18.48866,46.4"
"18.50866,46.4"
"18.52866,46.4"
"18.54866,46.4"
"18.56866,46.4"
"18.58866,46.4"
"18.60866,46.4"
"18.62866,46.4"
"18.64866,46.4"
"18.66866,46.4"
"18.68866,46.4"
"18.70866,46.4"
"18.72866,46.4"
"18.74866,46.4"
"18.76866,46.4"
"18.78866,46.4"
"18.80866,46.4"
"18.82866,46.4"
"18.84866,46"
"18.86866,45.6"
"18.88866,45.6"
"18.90866,45.2"
"18.92866,45.2"
"18.94866,45.2"
"18.96866,44.8"
"18.98866,44.8"
"19.00866,44.8"
"19.02866,44.8"
"19.04866,44.8"
"19.06866,44.8"
"19.08866,44.8"
"19.10866,44.8"
"19.12866,44.8"
"19.14866,44.8"
"19.16866,44.8"
"19.18866,44.8"
"19.20866,44.4"
"19.22866,44.4"
"19.24866,44.4"
"19.26866,44.4"
"19.28866,44.4"
"19.30866,44.4"
"19.32766,44"
"19.34866,44"
"19.36766,43.6"
"19.38866,43.6"
"19.40766,43.6"
"19.42766,43.6"
"19.44866,43.6"
"19.46766,43.6"
"19.48866,43.6"
"19.50766,43.6"
"19.52766,43.6"
"19.54866,43.6"
"19.56766,43.6"
"19.58866,43.6"
"19.60766,43.6"
"19.62766,43.6"
"19.64766,43.6"
"19.66766,43.6"
"19.68766,43.6"
"19.70766,43.6"
"19.72766,43.6"
"19.74766,43.6"
"19.76766,43.6"
"19.78766,43.6"
"19.80766,43.6"
"19.82766,43.6"
"19.84766,43.6"
"19.86766,43.6"
"19.88766,43.6"
"19.90766,43.6"
"19.92766,43.6"
"19.94766,43.6"
"19.96766,43.6"
"19.98766,43.6"
"20.00766,43.6"
"20.02766,43.6"
"20.04766,43.6"
"20.06766,43.6"
"20.08766,43.6"
"20.10766,43.6"
"20.12766,43.6"
"20.14766,43.6"
"20.16766,43.6"
"20.18766,43.6"
"20.20766,43.6"
"20.22766,43.6"
"20.24766,43.6"
"20.26766,43.6"
"20.28766,43.6"
"20.30766,43.6"
"20.32766,43.6"
"20.34766,43.6"
"20.36766,43.6"
"20.38766,43.6"
"20.40766,43.6"
"20.42766,43.6"
