"time,DegOfDev"
"24.77875,16.15"
"24.79875,16.12"
"24.81875,15.92"
"24.83875,15.82"
"24.85875,15.69"
"24.87875,15.59"
"24.89875,15.4"
"24.91875,15.23"
"24.93875,15.12"
"24.95875,14.92"
"24.97875,14.85"
"24.99875,14.72"
"25.01875,14.65"
"25.03875,14.65"
"25.05875,14.64"
"25.07875,14.49"
"25.09875,14.46"
"25.11875,14.37"
"25.13875,14.12"
"25.15875,13.98"
"25.17875,13.73"
"25.19875,13.4"
"25.21875,12.93"
"25.23875,12.57"
"25.25875,12.34"
"25.27875,11.95"
"25.29875,11.54"
"25.31875,11.2"
"25.33875,10.87"
"25.35875,10.61"
