time,DegOfDev
21.31881,2.13
21.33881,2.17
21.35881,2.19
21.37881,2.19
21.39881,2.23
21.41881,2.32
21.43881,2.37
21.45881,2.37
21.47881,2.37
21.49881,2.35
21.51881,2.35
21.53881,2.3
21.55881,2.25
21.57881,2.13
21.59881,2.03
21.61881,2.07
21.63881,2.13
21.65881,2.17
21.67881,2.1
21.69881,2.03
21.71881,2.04
21.73881,1.98
21.75881,1.96
21.77881,1.89
21.79881,1.96
21.81881,1.93
21.83881,2
21.85881,1.91
21.87881,1.87
21.89881,1.9
21.91881,1.9
21.93881,1.85
21.95881,1.87
21.97881,1.85
21.99881,1.85
22.01881,1.85
22.03881,1.84
22.05881,1.85
22.07881,1.85
22.09881,1.85
22.11881,1.73
22.13881,1.69
22.15881,1.68
22.17881,1.68
22.19881,1.68
22.21881,1.68
22.23881,1.68
22.25881,1.55
22.27881,1.51
22.29881,1.55
22.31881,1.62
22.33881,1.64
22.35781,1.64
22.37881,1.56
22.39881,1.58
22.41881,1.66
22.43881,1.56
22.45881,1.53
22.47881,1.58
22.49881,1.57
22.51881,1.58
22.53881,1.51
22.55881,1.6
22.57881,1.67
22.59881,1.68
22.61881,1.68
22.63881,1.62
22.65881,1.56
22.67881,1.67
22.69881,1.68
22.71881,1.62
22.73881,1.67
22.75881,1.6
22.77881,1.52
22.79881,1.51
22.81881,1.46
22.83781,1.49
22.85881,1.45
22.87881,1.43
22.89881,1.5
22.91881,1.51
22.93881,1.48
22.95781,1.51
22.97881,1.51
22.99881,1.52
23.01881,1.53
23.03781,1.51
23.05881,1.55
23.07881,1.52
23.09881,1.51
23.11881,1.46
23.13781,1.37
23.15881,1.34
23.17881,1.36
23.19881,1.44
23.21881,1.42
23.23881,1.35
23.25881,1.38
23.27881,1.49
23.29881,1.51
23.31881,1.51
23.33781,1.51
23.35881,1.52
23.37881,1.48
23.39881,1.46
23.41881,1.5
23.43881,1.45
23.45881,1.49
23.47881,1.39
23.49881,1.39
23.51881,1.36
23.53781,1.38
23.55881,1.4
23.57881,1.37
23.59881,1.35
23.61881,1.39
23.63881,1.5
23.65781,1.51
23.67881,1.65
23.69881,1.66
23.71881,1.62
23.73781,1.62
23.75881,1.67
23.77881,1.56
23.79881,1.4
23.81881,1.36
23.83781,1.31
23.85881,1.21
23.87881,1.17
23.89881,1.23
23.91881,1.24
23.93781,1.32
23.95881,1.34
23.97881,1.36
23.99881,1.46
24.01881,1.54
24.03881,1.52
24.05881,1.51
24.07881,1.51
24.09881,1.43
24.11881,1.28
24.13881,1.26
24.15881,1.18
24.17881,1.1
24.19881,1.12
24.21881,1.12
24.23881,1.12
24.25881,1.07
24.27881,1.05
24.29881,1.15
24.31881,1.22
24.33881,1.25
24.35881,1.18
24.37881,1.2
24.39881,1.11
24.41881,1
24.43881,0.87
24.45881,0.74
24.47881,0.67
24.49881,0.66
24.51881,0.58
24.53881,0.58
24.55881,0.47
24.57881,0.49
24.59881,0.5
24.61881,0.44
24.63881,0.43
24.65781,0.39
24.67881,0.25
24.69881,0.1
24.71881,0.12
24.73781,0.24
24.75881,0.39
24.77881,0.59
24.79881,0.76
24.81881,0.94
24.83881,1.13
24.85881,1.33
24.87881,1.5
24.89881,1.68
24.91881,1.84
24.93881,2.03
24.95881,2.28
24.97881,2.51
24.99881,2.72
25.01881,3.05
25.03881,3.19
25.05881,3.44
25.07881,3.69
25.09881,3.99
25.11881,4.31
25.13881,4.62
25.15881,4.87
25.17881,5.18
25.19881,5.37
25.21881,5.65
25.23881,5.97
25.25881,6.21
25.27881,6.47
25.29881,6.68
25.31881,6.89
25.33881,7.05
25.35881,7.13
25.37881,7.26
25.39881,7.46
25.41881,7.5
25.43881,7.59
25.45881,7.74
25.47881,7.89
25.49881,8.06
25.51881,8.16
25.53881,8.33
25.55881,8.54
25.57881,8.68
25.59881,8.82
25.61881,8.99
25.63881,9.15
25.65881,9.41
25.67881,9.52
25.69881,9.61
25.71881,9.7
25.73881,9.65
25.75881,9.76
25.77881,9.83
25.79881,9.92
25.81881,10.01
25.83881,10.1
25.85881,10.12
25.87881,10.16
25.89881,10.16
25.91881,10.12
25.93881,10.12
25.95881,10.12
25.97881,10.12
25.99881,10.12
26.01881,10.24
26.03881,10.29
26.05881,10.29
26.07881,10.29
26.09881,10.29
26.11881,10.29
26.13881,10.2
26.15881,10.14
26.17881,10.12
26.19881,10.18
26.21881,10.17
26.23881,10.2
26.25881,10.28
26.27881,10.26
26.29881,10.14
26.31881,10.16
26.33881,10.24
26.35881,10.2
26.37881,10.28
26.39881,10.26
26.41881,10.16
26.43881,10.12
26.45881,9.98
26.47881,9.81
26.49881,9.73
26.51881,9.63
26.53881,9.64
26.55881,9.67
26.57881,9.6
26.59881,9.5
26.61881,9.45
26.63881,9.22
26.65881,9.05
26.67881,8.87
26.69881,8.61
26.71881,8.29
26.73881,8.1
26.75881,7.72
26.77881,7.52
26.79881,7.31
26.81881,7.17
26.83881,6.97
26.85881,6.81
26.87881,6.55
26.89881,6.38
26.91881,6.21
26.93881,5.89
26.95881,5.63
26.97881,5.43
26.99881,5.16
27.01881,4.93
27.03881,4.75
27.05881,4.56
27.07881,4.36
27.09881,4.09
27.11881,3.76
27.13881,3.44
27.15881,3.11
27.17881,2.87
27.19881,2.71
27.21881,2.56
27.23881,2.45
27.25881,2.39
27.27881,2.2
27.29881,1.97
27.31881,1.8
27.33881,1.54
27.35881,1.37
27.37881,1.16
27.39881,0.97
27.41881,0.71
27.43881,0.54
27.45881,0.41
27.47881,0.36
27.49881,0.27
27.51881,0.2
27.53781,0.12
27.55781,0.01
27.57881,0.03
27.59881,0.14
27.61881,0.16
27.63881,0.23
27.65881,0.29
27.67881,0.45
27.69881,0.56
27.71881,0.65
27.73781,0.67
27.75881,0.8
27.77881,0.72
27.79881,0.67
27.81881,0.54
27.83881,0.5
27.85881,0.6
27.87881,0.66
27.89881,0.71
27.91881,0.69
27.93881,0.73
27.95881,0.82
27.97881,0.88
27.99881,0.99
28.01881,1.14
28.03881,1.13
28.05881,1.08
28.07881,1.01
28.09881,0.97
28.11881,0.93
28.13881,0.93
28.15881,0.99
28.17881,1.01
28.19881,1.05
28.21881,1.2
28.23881,1.36
28.25881,1.49
28.27881,1.52
28.29881,1.51
28.31881,1.51
28.33881,1.5
28.35881,1.37
28.37881,1.27
28.39881,1.11
28.41881,1.05
28.43881,1.15
28.45881,1.25
28.47881,1.44
28.49881,1.62
28.51881,1.6
28.53881,1.54
28.55881,1.51
28.57881,1.51
28.59881,1.51
28.61881,1.59
28.63881,1.66
28.65881,1.64
28.67881,1.55
28.69881,1.54
28.71881,1.59
28.73881,1.53
28.75881,1.52
28.77881,1.55
28.79881,1.51
28.81881,1.57
28.83881,1.67
28.85881,1.78
28.87881,1.85
28.89881,1.89
28.91881,2.02
28.93881,2.03
28.95881,2.27
28.97881,2.51
28.99881,2.68
29.01881,2.77
29.03881,2.86
29.05881,3.01
29.07881,3.15
29.09881,3.31
29.11881,3.48
29.13881,3.61
29.15881,3.7
29.17881,3.82
29.19881,3.78
29.21881,3.82
29.23881,3.86
29.25881,3.98
29.27881,4.09
29.29881,4.18
29.31881,4.21
29.33881,4.32
29.35881,4.45
29.37881,4.55
29.39881,4.68
29.41881,4.82
29.43881,4.89
29.45881,5.02
29.47881,5.2
29.49881,5.14
29.51881,5.2
29.53881,5.34
29.55881,5.4
29.57881,5.46
29.59881,5.54
29.61881,5.7
29.63881,5.89
29.65881,6.07
29.67881,6.2
29.69881,6.32
29.71881,6.54
29.73881,6.68
29.75881,6.8
29.77881,6.92
29.79881,7.06
29.81881,7.18
29.83881,7.23
29.85881,7.25
29.87881,7.27
29.89881,7.39
29.91881,7.56
29.93881,7.74
29.95881,7.74
29.97881,7.83
29.99881,7.9
30.01881,7.82
30.03881,7.94
30.05881,8.07
30.07881,8.04
30.09881,8.01
30.11881,8.04
30.13881,7.95
30.15881,7.89
30.17881,7.78
30.19881,7.63
30.21881,7.48
30.23881,7.35
30.25881,7.21
30.27881,7.12
30.29881,7.08
30.31881,7.07
30.33881,6.95
30.35881,7.02
30.37881,7.08
30.39881,7.24
30.41881,7.4
30.43881,7.42
30.45881,7.36
30.47881,7.22
30.49881,7.07
30.51881,6.87
30.53881,6.57
30.55881,6.35
30.57881,6.05
30.59881,5.92
30.61881,5.84
30.63881,5.74
30.65881,5.85
30.67881,5.82
30.69881,5.78
30.71881,5.73
30.73881,5.61
30.75881,5.56
30.77881,5.44
30.79881,5.4
30.81981,5.3
30.83881,5.26
30.85881,5.18
30.87881,5.02
30.89881,5
30.91881,4.88
30.93881,4.77
