time,AccPed2D
340.8337,99.9855
340.8537,99.9855
340.8737,99.9855
340.8937,99.9855
340.9137,99.9855
340.9337,99.9855
340.9537,99.9855
340.9737,94.8882
340.9937,94.8882
341.0137,0
341.0337,0
341.0537,99.9855
341.0737,99.9855
341.0937,99.9855
341.1137,99.9855
341.1337,99.9855
341.1537,99.9855
341.1737,99.9855
341.1937,99.9855
341.2137,99.9855
341.2337,99.9855
341.2537,99.9855
341.2737,97.2408
341.2937,97.2408
341.3137,38.4258
341.3337,38.4258
341.3537,99.9855
341.3737,99.9855
341.3937,99.9855
341.4137,99.9855
341.4337,99.9855
341.4537,99.9855
341.4737,99.9855
341.4937,99.9855
341.5137,99.9855
341.5337,99.9855
341.5537,99.9855
341.5737,99.9855
341.5937,99.9855
341.6137,90.9672
341.6337,94.8882
341.6537,0
341.6737,0
341.6937,99.9855
341.7127,99.9855
341.7327,99.9855
341.7527,99.9855
341.7737,99.9855
341.7927,99.9855
341.8137,99.9855
341.8327,99.9855
341.8527,99.9855
341.8737,99.9855
341.8927,99.9855
341.9127,99.9855
341.9327,79.9884
341.9527,38.4258
341.9727,38.4258
341.9927,0
342.0127,99.9855
342.0327,99.9855
342.0527,99.9855
342.0727,99.9855
342.0927,99.9855
342.1127,99.9855
342.1327,99.9855
342.1527,99.9855
342.1727,99.9855
342.1927,99.9855
342.2127,99.9855
342.2327,99.9855
342.2527,72.9306
342.2727,38.4258
342.2927,38.4258
342.3127,0
342.3327,99.9855
342.3527,99.9855
342.3727,99.9855
342.3927,99.9855
342.4127,99.9855
342.4327,99.9855
342.4527,99.9855
342.4727,99.9855
342.4927,99.9855
342.5127,99.9855
342.5327,99.9855
342.5527,99.9855
342.5727,72.1464
342.5927,38.4258
342.6127,38.4258
342.6327,0
342.6527,99.9855
342.6727,99.9855
342.6927,99.9855
342.7127,99.9855
342.7327,99.9855
342.7527,99.9855
342.7727,99.9855
342.7927,99.9855
342.8127,99.9855
342.8327,99.9855
342.8527,99.9855
342.8727,99.9855
342.8927,62.736
342.9127,94.8882
342.9327,0
342.9527,0
342.9727,99.9855
342.9927,99.9855
343.0127,99.9855
343.0327,99.9855
343.0527,99.9855
343.0727,99.9855
343.0927,99.9855
343.1127,99.9855
343.1327,99.9855
343.1527,99.9855
343.1727,99.9855
343.1927,99.9855
343.2127,46.6599
343.2327,38.4258
343.2527,0
343.2717,0
343.2927,99.9855
343.3117,99.9855
343.3317,99.9855
343.3517,99.9855
343.3727,99.9855
343.3917,99.9855
343.4117,99.9855
343.4317,99.9855
343.4517,99.9855
343.4727,99.9855
343.4917,99.9855
343.5117,99.9855
343.5317,45.4836
343.5517,94.8882
343.5727,38.4258
343.5917,0
343.6117,99.9855
343.6317,99.9855
343.6517,99.9855
343.6727,99.9855
343.6917,99.9855
343.7117,99.9855
343.7317,99.9855
343.7517,99.9855
343.7727,99.9855
343.7917,99.9855
343.8117,99.9855
343.8317,99.9855
343.8517,45.4836
343.8727,94.8882
343.8917,38.4258
343.9117,0
343.9317,99.9855
343.9517,99.9855
343.9717,99.9855
343.9917,99.9855
344.0117,99.9855
344.0317,99.9855
344.0517,99.9855
344.0717,99.9855
344.0917,99.9855
344.1117,99.9855
344.1317,99.9855
344.1517,99.9855
344.1717,43.131
344.1917,94.8882
344.2117,38.4258
344.2317,0
344.2517,99.9855
344.2717,99.9855
344.2917,99.9855
344.3117,99.9855
344.3317,99.9855
344.3517,99.9855
344.3717,99.9855
344.3917,99.9855
344.4117,99.9855
344.4317,99.9855
344.4517,99.9855
344.4717,99.9855
344.4917,42.7389
344.5117,94.8882
344.5317,38.4258
344.5517,0
344.5717,99.9855
344.5917,99.9855
344.6117,99.9855
344.6317,99.9855
344.6517,99.9855
344.6707,99.9855
344.6907,99.9855
344.7107,99.9855
344.7307,99.9855
344.7507,99.9855
344.7707,99.9855
344.7907,99.9855
344.8107,94.8882
344.8307,94.8882
344.8507,38.4258
344.8707,0
344.8907,99.9855
344.9107,99.9855
344.9307,99.9855
344.9507,99.9855
344.9707,99.9855
344.9907,99.9855
345.0107,99.9855
345.0307,99.9855
345.0507,99.9855
345.0707,99.9855
345.0907,99.9855
345.1107,3.5289
345.1307,3.5289
345.1507,94.8882
345.1707,38.4258
345.1907,0
345.2107,99.9855
345.2307,99.9855
345.2507,99.9855
345.2707,99.9855
345.2907,99.9855
345.3107,99.9855
345.3307,99.9855
345.3507,99.9855
345.3707,99.9855
345.3907,99.9855
345.4107,99.9855
345.4307,99.9855
345.4507,94.8882
345.4707,94.8882
345.4907,38.4258
345.5107,99.9855
345.5307,99.9855
345.5507,99.9855
345.5707,99.9855
345.5907,99.9855
345.6107,99.9855
345.6307,99.9855
345.6507,99.9855
345.6707,99.9855
345.6907,99.9855
345.7107,99.9855
345.7307,99.9855
345.7507,99.9855
345.7707,94.8882
345.7907,94.8882
345.8107,38.4258
345.8307,0
345.8507,99.9855
345.8707,99.9855
345.8907,99.9855
345.9107,99.9855
345.9307,99.9855
345.9507,99.9855
345.9707,99.9855
345.9907,99.9855
346.0107,99.9855
346.0307,99.9855
346.0507,99.9855
346.0707,99.9855
346.0907,94.8882
346.1107,94.8882
346.1307,0
346.1507,0
346.1697,99.9855
346.1897,99.9855
346.2097,99.9855
