time,AccPedal
19.78409,4.4
19.80409,4.4
19.82409,4.4
19.84409,4.4
19.86409,4.4
19.88409,4.4
19.90409,4.4
19.92409,4.4
19.94409,4.4
19.96409,4.4
19.98409,4.4
20.00409,4.4
20.02409,4.4
20.04409,4.4
20.06409,4.4
20.08409,4.4
20.10409,4.4
20.12409,4.4
20.14409,4.4
20.16409,4.4
20.18409,4.8
20.20409,4.8
20.22409,4.8
20.24409,4.8
20.26409,4.8
20.28409,4.8
20.30409,4.8
20.32409,4.8
20.34409,4.8
20.36409,4.8
20.38409,4.8
20.40409,4.8
20.42409,4.8
20.44409,4.8
20.46409,4.8
20.48409,4.8
20.50409,4.8
20.52409,4.8
20.54409,4.8
20.56409,4.8
20.58409,4.8
20.60409,4.8
20.62409,4.8
20.64409,4.8
20.66409,4.8
20.68409,4.8
20.70409,4.8
20.72409,4.8
20.74409,4.8
20.76409,4.8
20.78409,4.8
20.80409,5.2
20.82409,5.2
20.84409,5.2
20.86409,5.2
20.88409,5.2
20.90409,5.2
20.92409,5.2
20.94409,5.2
20.96409,5.2
20.98409,5.2
21.00409,5.2
21.02409,5.2
21.04409,5.6
21.06409,5.6
21.08409,5.6
21.10409,5.6
21.12409,5.6
21.14409,5.6
21.16409,5.6
21.18409,5.6
21.20309,5.6
21.22309,5.6
21.24309,6
21.26309,6.4
21.28309,6.4
21.30309,7.2
21.32309,7.2
21.34309,7.2
21.36309,7.2
21.38309,8
21.40309,8
21.42309,8
21.44309,8
21.46309,8.4
21.48309,8.4
21.50309,8.8
21.52309,8.8
21.54309,9.2
21.56309,9.2
21.58309,9.2
21.60309,10
21.62309,10.8
21.64309,10.8
21.66309,10.8
21.68309,11.6
21.70309,12
21.72309,12.8
21.74309,12.8
21.76309,13.6
21.78309,13.6
21.80309,13.6
21.82309,14
21.84309,14
21.86309,14.4
21.88309,14.4
21.90309,14.4
21.92309,14.8
21.94309,14.8
21.96309,14.8
21.98309,14.8
22.00309,14.8
22.02309,14.8
22.04309,15.2
22.06309,15.2
22.08309,15.2
22.10309,15.2
22.12309,15.6
22.14309,15.6
22.16309,15.6
22.18309,15.6
