time,DegOfDev
27.11781,0.37
27.13781,0.46
27.15781,0.54
27.17781,0.79
27.19781,1
27.21781,1.2
27.23781,1.38
27.25781,1.48
27.27781,1.57
27.29781,1.67
27.31781,1.68
27.33781,1.69
27.35781,1.8
27.37781,1.73
27.39781,1.68
27.41781,1.68
27.43781,1.74
27.45781,1.84
27.47781,1.85
27.49781,1.97
27.51781,2.03
27.53781,2.16
27.55781,2.26
27.57781,2.33
27.59781,2.35
27.61781,2.35
27.63781,2.35
27.65781,2.31
27.67781,2.12
27.69781,1.99
27.71781,1.87
27.73781,1.85
27.75781,1.85
27.77781,1.75
27.79781,1.74
27.81781,1.83
27.83781,1.99
27.85781,2.02
27.87781,2.16
27.89781,2.32
27.91781,2.33
27.93781,2.26
27.95781,2.14
27.97781,2.02
27.99781,1.89
28.01781,1.78
28.03781,1.68
28.05781,1.68
28.07781,1.68
28.09781,1.68
28.11781,1.78
28.13781,1.89
28.15781,1.97
28.17781,2.07
28.19781,2.04
28.21781,2.16
28.23781,2.19
28.25781,2.19
28.27781,2.25
28.29781,2.12
28.31781,1.92
28.33781,1.82
28.35781,1.81
28.37781,1.73
28.39781,1.79
28.41781,1.81
28.43781,1.88
28.45781,1.94
28.47781,1.95
28.49781,1.91
28.51781,2.01
28.53781,2.09
28.55781,2.17
28.57781,2.31
28.59781,2.35
28.61781,2.35
28.63781,2.33
28.65781,2.22
28.67781,2.22
28.69781,2.39
28.71781,2.52
28.73781,2.6
28.75781,2.68
28.77781,2.81
28.79781,2.89
28.81781,2.99
28.83781,3.13
28.85781,3.2
28.87781,3.2
28.89781,3.25
28.91781,3.33
28.93781,3.31
28.95781,3.23
28.97781,3.27
28.99781,3.36
29.01781,3.37
29.03781,3.48
29.05781,3.62
29.07781,3.63
29.09781,3.75
29.11781,3.86
29.13781,3.92
29.15781,4.03
29.17781,4.11
29.19781,4.27
29.21781,4.37
29.23781,4.44
29.25781,4.65
29.27781,4.75
29.29781,4.72
29.31781,4.72
29.33781,4.75
29.35781,4.87
29.37781,4.89
29.39781,4.89
29.41781,4.98
29.43781,5.05
29.45781,4.96
29.47781,5.1
29.49781,5.31
29.51781,5.43
29.53781,5.62
29.55781,5.8
