time,DegOfDev
20.48059,9.84
20.50059,9.81
20.52059,9.86
20.54059,9.94
20.56059,9.93
20.58059,9.83
20.60059,9.79
20.62059,9.71
20.64059,9.76
20.65959,9.82
20.68059,9.77
20.70059,9.82
20.72059,9.85
20.74059,9.98
20.76059,9.94
20.77959,9.94
20.80059,10
20.82059,10.04
20.84059,10.07
20.86059,10.1
20.87959,10
20.89959,9.94
20.92059,9.89
20.93959,9.86
20.95959,9.77
20.98059,9.76
21.00059,9.83
21.02059,9.88
21.04059,9.94
21.06059,9.94
21.08059,10.05
21.10059,10.09
21.12059,10.15
21.14059,10.21
21.15959,10.19
21.17959,10.23
21.20059,10.17
21.21959,10.1
21.24059,10.1
21.25959,10.1
21.27959,10.1
21.29959,9.97
21.32059,9.96
21.34059,9.92
21.36059,9.92
21.38059,9.81
21.39959,9.85
21.42059,9.91
21.43959,9.87
21.45959,9.93
21.47959,9.93
21.49959,9.94
21.51959,9.95
21.54059,9.97
21.55959,9.94
21.58059,9.92
21.60059,9.85
21.62059,9.77
21.63959,9.85
21.65959,9.92
21.67959,9.94
21.69959,9.9
21.71959,9.95
21.74059,10.06
21.75959,10.03
21.77959,10.07
21.80059,10.1
21.81959,10.1
21.83959,10.09
21.86059,10.15
21.87959,10.23
21.90059,10.19
21.91959,10.26
21.93959,10.3
21.95959,10.34
21.97959,10.34
21.99959,10.33
22.01959,10.39
22.03959,10.44
22.05959,10.44
22.08059,10.54
22.09959,10.61
22.12059,10.67
22.14059,10.73
22.16059,10.83
22.18059,10.91
22.19959,10.97
22.22059,11
22.24059,11.1
22.26059,11.1
22.28059,11.2
22.30059,11.28
22.32059,11.32
22.34059,11.44
22.36059,11.45
22.38059,11.56
22.40059,11.69
22.42059,11.8
22.44059,11.95
22.46059,12.09
22.48059,12.24
22.50059,12.28
22.52059,12.33
22.54059,12.45
22.56059,12.5
22.58059,12.63
22.60059,12.77
22.62059,12.9
22.64059,13.09
22.66059,13.21
22.68059,13.37
22.70059,13.54
22.72059,13.72
22.74059,13.93
22.76059,14.05
22.78059,14.26
22.79959,14.4
22.82059,14.57
22.84059,14.7
22.86059,14.84
22.88059,14.96
22.89959,15.12
22.92059,15.3
22.94059,15.45
22.96059,15.58
22.98059,15.73
23.00059,15.97
23.02059,16.23
23.03959,16.37
23.06059,16.56
23.08059,16.72
23.10059,16.89
23.12059,17.13
23.14059,17.18
23.16059,17.3
23.17959,17.54
23.20059,17.85
23.22059,18.01
23.24059,18.24
23.26059,18.45
23.28059,18.65
23.30059,18.86
23.31959,19.12
23.33959,19.27
23.36059,19.52
23.38059,19.72
23.40059,19.87
23.42059,20.17
23.43959,20.34
23.46059,20.58
23.48059,20.74
23.50059,21
23.52059,21.22
23.54059,21.31
23.56059,21.53
23.58059,21.63
23.59959,21.57
23.62059,21.55
23.64059,21.43
23.66059,21.32
23.68059,21.23
23.70059,21.22
23.72059,21.12
23.74059,21.16
23.76059,21.16
23.78059,21.22
23.80059,21.3
23.82059,21.41
23.83959,21.51
23.86059,21.56
23.87959,21.52
23.90059,21.56
23.92059,21.56
23.94059,21.5
23.96059,21.4
23.98059,21.27
24.00059,21.2
24.02059,21.09
24.04059,20.95
24.06059,21.02
24.08059,21
24.10059,20.89
24.12059,20.9
24.14059,20.89
24.16059,20.89
24.18059,20.89
24.20059,20.95
24.22059,20.89
24.24059,20.89
24.26059,20.89
24.28059,20.79
24.30059,20.64
24.32059,20.41
24.34059,20.31
24.36059,20.02
24.38059,19.81
24.40059,19.63
24.42059,19.3
24.44059,19.08
24.46059,18.79
24.48059,18.43
24.50059,18.05
24.52059,17.71
24.54059,17.21
24.56059,16.74
24.58059,16.27
24.60059,15.86
24.62059,15.53
24.63959,15.22
24.66059,14.86
24.68059,14.61
24.70059,14.3
24.72059,13.95
24.73959,13.64
24.75959,13.29
24.77959,12.94
24.80059,12.54
24.82059,12.2
24.84059,11.8
24.86059,11.46
24.88059,11.05
24.89959,10.73
24.92059,10.44
24.93959,10.26
24.96059,9.99
24.98059,9.78
24.99959,9.62
25.02059,9.4
25.03959,9.27
25.06059,9.16
25.07959,8.96
25.09959,8.8
25.11959,8.7
25.14059,8.53
25.15959,8.33
25.17959,8.17
25.19959,7.97
25.21959,7.79
25.23959,7.62
25.25959,7.52
25.27959,7.56
25.29959,7.47
25.31959,7.41
25.33959,7.43
25.36059,7.42
25.38059,7.41
25.39959,7.41
25.41959,7.39
25.43959,7.28
25.45959,7.16
25.47959,6.98
25.49959,6.81
25.51959,6.61
25.53959,6.41
25.55959,6.23
25.57959,6.07
25.60059,5.91
25.62059,5.79
25.63959,5.72
25.66059,5.66
25.67959,5.57
25.69959,5.46
25.71959,5.28
25.73959,5.12
25.75959,4.92
25.77959,4.68
25.79959,4.46
25.81959,4.18
25.83959,3.92
25.85959,3.78
25.87959,3.59
25.90059,3.51
25.91959,3.39
25.93959,3.27
25.95959,3.13
25.97959,3.08
25.99959,2.9
26.01959,2.85
26.03959,2.65
26.05959,2.55
26.07959,2.32
26.10059,2.09
26.12059,1.98
26.14059,1.85
26.16059,1.62
26.18059,1.4
26.20059,1.24
26.22059,1.06
26.24059,0.85
26.26059,0.76
26.28059,0.69
26.30059,0.64
26.32059,0.67
26.34059,0.67
26.36059,0.52
26.38059,0.58
26.40059,0.55
26.42059,0.5
26.44059,0.5
26.46059,0.36
26.48059,0.33
26.50059,0.33
26.52059,0.3
26.54059,0.31
26.56059,0.24
26.58059,0.34
26.60059,0.33
26.62059,0.38
26.64059,0.4
26.65959,0.48
26.67959,0.53
26.69959,0.64
26.71959,0.71
26.73959,0.81
26.75959,0.85
26.77959,1.01
26.79959,1.13
26.81959,1.21
26.83959,1.32
26.85959,1.46
26.87959,1.55
