time,RevoPMin
300.1996,1071
300.2196,1056
300.2396,1029
300.2596,1017
300.2796,1002
300.2996,987
300.3196,957
300.3396,944
300.3596,940
300.3796,938
300.3996,923
300.4196,930
300.4396,938
300.4596,933
300.4796,923
300.4996,923
300.5196,922
300.5396,919
300.5596,919
300.5796,912
300.5996,904
300.6196,906
300.6396,907
300.6596,895
300.6796,898
300.6996,903
300.7196,899
300.7396,893
300.7596,900
300.7796,903
300.7996,909
300.8196,920
300.8396,930
300.8596,939
300.8796,945
300.8996,949
300.9196,958
300.9396,962
300.9596,967
300.9796,972
300.9996,985
301.0196,993
301.0386,1000
301.0586,1016
301.0786,1023
301.0986,1042
301.1186,1045
301.1386,1048
301.1586,1057
301.1786,1061
301.1986,1068
301.2186,1072
301.2386,1075
301.2586,1084
301.2786,1090
301.2986,1101
301.3186,1108
301.3386,1119
301.3586,1124
301.3786,1138
301.3986,1144
301.4186,1157
301.4386,1170
301.4586,1176
301.4786,1191
301.4986,1198
301.5186,1212
301.5386,1225
301.5586,1232
301.5786,1248
301.5986,1261
301.6186,1268
301.6386,1281
301.6586,1296
301.6786,1304
301.6986,1316
301.7186,1331
301.7386,1343
301.7586,1358
301.7786,1364
301.7986,1378
301.8186,1389
301.8386,1402
301.8586,1412
301.8786,1421
301.8986,1421
301.9186,1415
301.9386,1410
301.9586,1398
301.9786,1391
301.9986,1382
302.0186,1378
302.0386,1373
302.0586,1372
302.0786,1369
302.0986,1366
302.1186,1359
302.1386,1350
302.1586,1341
302.1786,1337
302.1986,1335
302.2186,1330
302.2386,1325
302.2586,1321
302.2786,1315
302.2986,1309
302.3186,1303
302.3386,1301
302.3586,1295
302.3786,1294
302.3986,1290
302.4186,1288
302.4386,1279
302.4586,1269
302.4786,1267
302.4986,1257
302.5176,1252
302.5376,1248
302.5576,1242
302.5776,1238
302.5976,1235
302.6176,1231
302.6376,1218
302.6576,1214
302.6776,1204
302.6976,1199
302.7176,1193
302.7376,1188
302.7576,1182
302.7776,1179
302.7976,1179
302.8176,1182
302.8376,1181
302.8576,1182
302.8776,1181
302.8976,1178
302.9176,1172
302.9376,1169
302.9576,1165
302.9776,1165
302.9976,1164
303.0176,1164
303.0376,1164
303.0576,1165
303.0776,1166
303.0976,1163
303.1176,1162
303.1376,1159
303.1576,1157
303.1776,1156
303.1976,1155
303.2176,1156
303.2376,1157
303.2576,1155
303.2776,1156
303.2976,1155
303.3176,1152
303.3376,1151
303.3576,1145
303.3776,1145
303.3976,1144
303.4176,1144
303.4376,1144
303.4576,1147
303.4776,1156
303.4976,1157
303.5176,1150
303.5376,1146
303.5576,1143
303.5776,1147
303.5976,1157
303.6176,1154
303.6376,1149
303.6576,1143
303.6776,1144
303.6976,1151
303.7176,1158
303.7376,1166
303.7576,1166
303.7776,1175
303.7976,1176
303.8176,1181
303.8376,1189
303.8576,1183
303.8776,1164
303.8976,1156
303.9176,1147
303.9376,1147
303.9576,1148
303.9776,1150
303.9976,1157
304.0166,1159
304.0366,1162
304.0566,1157
304.0766,1150
304.0966,1147
304.1166,1149
304.1366,1155
304.1566,1155
304.1766,1153
304.1966,1151
304.2166,1149
304.2366,1151
304.2566,1156
304.2766,1157
304.2966,1151
304.3166,1152
304.3366,1155
304.3566,1161
304.3766,1160
304.3966,1153
304.4166,1152
304.4366,1151
304.4566,1153
304.4766,1152
304.4966,1150
304.5166,1150
304.5366,1151
304.5566,1154
304.5766,1154
304.5966,1150
304.6166,1147
304.6366,1146
304.6566,1147
304.6766,1148
304.6966,1145
304.7166,1144
304.7366,1148
304.7566,1150
304.7766,1154
304.7966,1153
304.8166,1149
304.8366,1149
304.8566,1146
304.8766,1147
304.8966,1150
304.9166,1153
304.9366,1156
304.9566,1163
304.9766,1164
304.9966,1156
305.0166,1151
305.0366,1146
305.0566,1146
305.0766,1152
305.0966,1154
305.1166,1150
305.1366,1147
305.1566,1143
305.1766,1143
305.1966,1143
305.2166,1134
305.2366,1130
305.2566,1123
305.2766,1106
305.2966,1097
305.3166,1076
305.3366,1066
305.3566,1062
305.3766,1080
305.3966,1121
305.4166,1136
305.4366,1147
305.4566,1147
305.4766,1140
305.4966,1132
305.5166,1111
305.5366,1105
305.5566,1111
305.5766,1118
305.5966,1128
305.6156,1130
305.6356,1120
305.6556,1112
305.6756,1101
305.6956,1098
305.7156,1098
305.7356,1101
305.7556,1106
305.7756,1112
305.7956,1114
305.8156,1110
305.8356,1106
305.8556,1097
305.8756,1092
305.8956,1089
305.9156,1090
305.9356,1092
305.9556,1093
305.9756,1090
305.9956,1088
306.0156,1087
306.0356,1082
306.0556,1080
306.0756,1079
306.0956,1077
306.1156,1078
306.1356,1079
306.1556,1078
306.1756,1077
306.1956,1076
306.2156,1069
306.2356,1072
306.2556,1079
306.2756,1081
306.2956,1078
306.3156,1079
306.3356,1080
306.3556,1084
306.3756,1088
306.3956,1096
306.4156,1098
306.4356,1111
306.4556,1119
306.4756,1129
306.4956,1118
306.5156,1088
306.5356,1072
306.5556,1058
306.5756,1058
306.5956,1060
306.6156,1068
306.6356,1069
306.6556,1067
306.6756,1064
306.6956,1059
306.7156,1057
306.7356,1058
306.7556,1060
306.7756,1061
306.7956,1061
306.8156,1062
306.8356,1062
306.8556,1063
306.8756,1064
306.8956,1066
306.9156,1066
306.9356,1066
306.9556,1065
306.9756,1063
306.9946,1063
307.0146,1064
307.0346,1066
307.0546,1069
307.0746,1070
307.0946,1071
307.1146,1070
307.1346,1070
307.1546,1070
307.1746,1071
307.1946,1071
307.2146,1069
307.2346,1068
307.2546,1069
307.2746,1070
307.2946,1071
307.3146,1074
307.3346,1077
307.3546,1079
307.3746,1080
307.3946,1080
307.4146,1081
307.4346,1080
307.4546,1082
307.4746,1084
307.4946,1087
307.5146,1094
307.5346,1096
307.5546,1096
307.5746,1097
307.5946,1099
307.6146,1099
307.6346,1099
307.6546,1097
307.6746,1095
307.6946,1096
307.7146,1100
307.7346,1102
307.7546,1105
307.7746,1107
307.7946,1109
307.8146,1112
307.8346,1111
307.8546,1110
307.8746,1110
307.8946,1113
307.9146,1116
307.9346,1120
307.9546,1121
307.9746,1122
307.9946,1124
308.0146,1129
308.0346,1130
308.0546,1132
308.0746,1132
308.0946,1132
308.1146,1134
308.1346,1139
308.1546,1139
308.1746,1141
308.1946,1141
308.2146,1147
308.2346,1154
308.2546,1157
308.2746,1159
308.2946,1158
308.3146,1159
308.3346,1161
308.3546,1168
308.3746,1170
308.3946,1168
308.4146,1169
308.4346,1171
308.4546,1176
308.4736,1178
308.4936,1178
308.5136,1179
308.5336,1185
308.5536,1190
308.5736,1191
308.5936,1189
308.6136,1190
308.6336,1193
308.6536,1196
308.6746,1199
308.6946,1201
308.7136,1203
308.7336,1207
308.7536,1211
308.7736,1212
308.7936,1215
308.8136,1219
308.8336,1227
308.8536,1229
